Player ID,FullName,Primary Position,Secondary Position,Team,Age
6d08a623-3ca9-4da9-8a42-a8628205b2b0,Daniel King,SP,SS,Nashville Foxes,19
e6ddc9c3-f747-433f-aff9-2e963eb4bb14,Tyler Adams,SP,C,Nashville Foxes,20
55efd229-2a53-4887-9d2d-bfb245d5208b,Joshua Adams,SP,RP,Nashville Foxes,37
32faed3f-899f-4a8e-899a-a96363a2b3df,Matthew Hayes,SP,CF,Nashville Foxes,19
66ff6d88-905b-4b80-9707-122d47eeccd8,Thomas Carter,SP,SS,Nashville Foxes,34
e473ffb9-5dc3-484e-ae66-27d69fefcb7f,Anthony Irving,RP,2B,Nashville Foxes,37
648f4f7c-8073-4243-8836-feddb903d850,Mark Owens,RP,C,Nashville Foxes,36
55a22881-35fe-49da-8aef-6cd6262048a1,Samuel Garcia,RP,RF,Nashville Foxes,22
ac2e3487-086d-44e4-b399-40598d045c2a,Robert Johnson,RP,3B,Nashville Foxes,34
1be726f3-bd55-4fc7-acf9-41324df8bd5a,Robert Carter,RP,2B,Nashville Foxes,30
87cdbd14-ef01-44dc-ae49-fe73754f8416,Anthony Walker,RP,RF,Nashville Foxes,32
b867d493-4c3c-4ac5-9f99-4f092b6d402a,Ryan Foster,RP,LF,Nashville Foxes,38
3a713af9-7db4-4289-8cbe-ede21242ebc1,Joshua Adams,RP,3B,Nashville Foxes,37
a528f8a9-d0c9-4c8f-8190-2d13f9fca64f,James Edwards,C,3B,Nashville Foxes,19
f11162fc-7a71-4b16-9e10-11f075d571da,William Lopez,1B,LF,Nashville Foxes,20
53a8b25b-8929-4b56-9e86-5a688ecc3efb,Samuel Carter,2B,1B,Nashville Foxes,25
31e6525e-0b80-4e1b-ad69-21a1da745bdb,Joseph Parker,3B,SP,Nashville Foxes,19
7b1b1b46-56fb-45dd-b9ab-9eb2de8bb4f2,James Reed,SS,SP,Nashville Foxes,23
b49b8d75-b1ca-4b7a-aa42-80096230411d,Jordan Reed,LF,2B,Nashville Foxes,29
4e895b94-c1fd-4d8f-9ca6-9e94ce556bf6,Andrew Morris,CF,1B,Nashville Foxes,24
a9a5145b-4301-4add-83c8-01a4df52cf28,Michael Adams,RF,2B,Nashville Foxes,37
dba2a9af-4080-4e0a-9472-ac826cbcfb7b,Samuel Parker,DH,1B,Nashville Foxes,36
e460f3c9-9a4a-4549-aacc-873f4f1f54c2,Michael Foster,C,CF,Nashville Foxes,30
9a3e3966-b3a6-44a8-8a90-510a61c10ac4,Ryan Carter,1B,CF,Nashville Foxes,26
2a358e71-d474-42c9-b0e8-22e16b06b654,Brandon Irving,2B,SS,Nashville Foxes,38
66ad64cb-d6f3-41dc-a5f3-d2093bc44e54,Matthew King,3B,RP,Nashville Foxes,35
cdc0cf33-5821-4da3-b56f-1ae58f548f6f,Robert Carter,SS,C,Nashville Foxes,22
f676fe8c-a192-46c8-9db3-160ad8150981,Jordan Owens,LF,SS,Nashville Foxes,30
c086f640-10cd-420c-835d-fa4f3c34bba4,Daniel Carter,CF,RP,Nashville Foxes,38
781ae970-0633-41bd-aeab-fb86861c2eda,Brandon Diaz,RF,3B,Nashville Foxes,29
a13e21bd-98f1-4642-98cf-16c85be5a79f,Andrew Turner,DH,SP,Nashville Foxes,33
4f3c2551-dd5f-42a0-b116-d7c0f1cf67a4,David Garcia,SP,LF,Nashville Foxes,35
243c270e-3305-4047-996c-963b1468a9c1,William Sanchez,RP,CF,Nashville Foxes,22
a9039473-b919-47ac-a4db-e6bc5355735f,David Edwards,C,SP,Nashville Foxes,31
08120cfe-7721-4044-bfc5-f858259de8c8,John Irving,1B,SP,Nashville Foxes,36
a964b816-e34d-432e-98f6-af394df8eb46,Nicholas Walker,2B,RP,Nashville Foxes,28
83c81880-8a6c-4c36-8922-5b98667d1822,Brandon Walker,3B,1B,Nashville Foxes,30
08b5f681-36c0-402a-9782-fe9201386df3,William Morris,SS,CF,Nashville Foxes,33
f8160519-0f96-43b8-9d37-c61f997d682a,Robert Reed,LF,3B,Nashville Foxes,29
18d084b1-f27c-4ad0-a0d7-ebf92b8f4236,Ryan Edwards,CF,LF,Nashville Foxes,34
6e3e2eef-77b6-47d7-b0d9-b541ac8dacb5,Mark Diaz,SP,RP,St. Louis Owls,20
9b79301c-3c0f-487d-b847-1e5baaf61303,John Edwards,SP,3B,St. Louis Owls,22
d6b9f857-a11a-4ea6-8e57-5c5877ae8548,David Foster,SP,DH,St. Louis Owls,28
211a7215-636d-45c5-8ebb-9c35635b2b17,Thomas Johnson,SP,RF,St. Louis Owls,32
c29a3c02-5e1e-4ad2-b059-92814ad0db71,Samuel Hayes,SP,DH,St. Louis Owls,25
eac1f960-b7c4-4f09-ad27-148d9b9aafb4,Michael Turner,RP,LF,St. Louis Owls,31
981c90e1-e7a9-4270-8d94-aa5341deb867,Thomas Walker,RP,C,St. Louis Owls,28
02e7d0ef-1571-470d-9b09-4eddc8980149,Brandon Garcia,RP,SP,St. Louis Owls,36
6e8372c7-565e-42c8-8d80-63b0ee0a3d75,Brandon Adams,RP,2B,St. Louis Owls,30
7591fb89-b830-47a4-9d61-c7f78cfc7d6c,James Sanchez,RP,SS,St. Louis Owls,32
314a286a-26f1-44d3-a1d1-613b518b0116,Joshua Walker,RP,2B,St. Louis Owls,37
3a7af2e6-836f-497b-afc4-b02d2396006f,Nicholas Adams,RP,3B,St. Louis Owls,32
f3c678ee-ae93-427a-be06-070b07fbc779,James Nelson,RP,LF,St. Louis Owls,26
a52465f8-390e-4c58-aa77-1bc9a250b909,Joseph Edwards,C,RF,St. Louis Owls,31
22cb5135-feae-45b8-835b-ae2184d2ed06,Andrew Garcia,1B,RF,St. Louis Owls,20
3da7baa8-1c2f-402d-b394-bb2ced57256b,Robert Reed,2B,3B,St. Louis Owls,38
c46e1905-b735-433d-ae62-a77ac44ab4ec,Thomas Adams,3B,CF,St. Louis Owls,26
c87daba9-7970-4431-bdf6-39cfabbfe22d,Michael Diaz,SS,RF,St. Louis Owls,21
82b53d8d-b898-453a-94df-5cec7d7154e0,Jordan Diaz,LF,RF,St. Louis Owls,22
f509bdfa-f5ae-498a-bc8f-aff0ce5cf933,Andrew Nelson,CF,SP,St. Louis Owls,26
34a444e8-b1f1-483a-aed4-15061cc75e2a,Andrew Irving,RF,SS,St. Louis Owls,22
834948c7-06ba-4391-b865-b259783848d1,Nicholas Lopez,DH,LF,St. Louis Owls,32
f1ff9870-39b1-4c0f-af86-cc23c9a5ef85,Daniel Nelson,C,RP,St. Louis Owls,32
a6176857-3dd1-4916-bb2c-1e24ed91653f,William Garcia,1B,CF,St. Louis Owls,35
74163991-3089-4203-92e8-d1be3092f51d,Joshua Garcia,2B,CF,St. Louis Owls,34
c32950d7-c4f2-4d72-9acb-c84845e4f7ce,Matthew Walker,3B,CF,St. Louis Owls,36
38f524f8-23a2-4544-84a1-7d4576954043,James Irving,SS,LF,St. Louis Owls,22
6844dc01-773d-4613-80f8-2ac658ff5eb8,Mark Irving,LF,C,St. Louis Owls,38
0e15ff3f-21d5-49c9-a691-9cf19f056769,Matthew Garcia,CF,SS,St. Louis Owls,33
62cd7577-5002-4dd0-b0d2-7161e38ee412,Daniel Baker,RF,1B,St. Louis Owls,34
2724669a-6a2b-4628-9ca6-f983ab60c6f6,Matthew Turner,DH,RP,St. Louis Owls,29
4a664926-0e81-4f77-8ef6-633fb027b16d,William Turner,SP,DH,St. Louis Owls,31
528fb037-6a6f-403f-a1e4-827413e50257,Andrew Reed,RP,LF,St. Louis Owls,25
356532d5-c302-4aac-ab96-cc1252982ace,John Carter,C,RP,St. Louis Owls,31
abc434d9-0d53-4239-8891-26be34fc2685,Jordan Lopez,1B,2B,St. Louis Owls,26
115cf632-7fd0-43ed-b521-8c847394741e,Robert Hayes,2B,1B,St. Louis Owls,19
1f8688f3-4406-45ae-9ccb-a7c3f2c441da,Joshua Adams,3B,2B,St. Louis Owls,37
85c97987-22fd-4e21-8941-e0735b93bd1b,Tyler Reed,SS,3B,St. Louis Owls,30
cb963aa3-1fbf-4cff-a685-c80db97bd4c6,Robert Parker,LF,2B,St. Louis Owls,29
ca0c0e07-715d-4cfa-9ba7-a88f3a4797db,John Adams,CF,RF,St. Louis Owls,20
68234d8f-9720-47dd-a880-467334137c30,Anthony Parker,SP,LF,Portland Captains,33
d644ffa7-4623-4c26-9306-efa650566b8f,Jordan Nelson,SP,DH,Portland Captains,26
4416a32d-4f5b-4af2-9da0-793bbf2d679c,Daniel Sanchez,SP,RF,Portland Captains,35
a63e1f5d-d97c-4ce7-9171-a659a58dc7de,Jordan Reed,SP,CF,Portland Captains,20
91ceb608-347e-426b-8318-1018034f4413,Nicholas Turner,SP,DH,Portland Captains,22
efac4f0b-2170-4c1d-969f-67b0d72ea5f2,Ryan Walker,RP,DH,Portland Captains,35
ad9c111c-cc96-4ea8-a966-f3a35f6a868d,Daniel Turner,RP,1B,Portland Captains,24
37c00da0-1e61-4c46-aa3d-197826d74a5f,Tyler Hayes,RP,LF,Portland Captains,37
74fd3d3e-6ce7-4842-85ad-1176fb29ebe9,Jordan Baker,RP,DH,Portland Captains,25
e74e5b12-2360-4346-95f2-0b5549d83abf,Brandon Hayes,RP,1B,Portland Captains,38
bfdc1c6b-809d-49b8-bc32-2940acc1056d,Robert Sanchez,RP,LF,Portland Captains,38
fbb073ce-d452-4d20-9bf4-abcac72f5f97,James Lopez,RP,CF,Portland Captains,25
2de259e5-d165-47c3-bded-84475ea6649f,Robert Diaz,RP,RF,Portland Captains,21
806d1104-4479-4aaf-8a2e-569e92770249,Michael Johnson,C,SS,Portland Captains,30
9d2de551-0193-47a1-b420-fe70c2656aed,Samuel Owens,1B,3B,Portland Captains,38
eddea4ba-048e-486c-9999-0f55001b063f,Matthew Morris,2B,CF,Portland Captains,19
